movie,runtime
Detective Knight: Rogue,105
Lifemark,120
Day Shift,114
Diary of a Wimpy Kid: Rodrick Rules,75
Deep Water,115
Something in the Dirt,116
Till,130
Stars at Noon,137
The Ice Age Adventures of Buck Wild,82
The Whale,117
Don't Make Me Go,109
Bitch Ass,83
Private Property,87
Hocus Pocus 2,103
The Fabelmans,151
Prey,99
Mid-Century,105
All the Old Knives,101
Where the Crawdads Sing,125
Umma,83
Is That Black Enough for You?!?,135
7 Days,86
Marmaduke,88
Sharp Stick,96
The Northman,136
Emancipation,132
Running the Bases,127
The Estate,96
Holiday Harmony,110
Tár,158
Good Mourning,93
"Confess, Fletch",98
Wrong Place,96
The People We Hate at the Wedding,99
Shattered,92
The Silent Twins,113
Jerry & Marge Go Large,96
Studio 666,106
See How They Run,98
Scrooge: A Christmas Carol,96
The 355,123
Emily the Criminal,93
Paws of Fury: The Legend of Hank,98
Vengeance,107
A Jazzman's Blues,127
The Bubble,124
A Day to Die,105
Bodies Bodies Bodies,94
Summering,87
The Menu,107